Year,UNIT_MEASURE,Пол,Value
2001,Број,M,98.0
2002,Број,M,77.0
2003,Број,M,91.0
2004,Број,M,94.0
2005,Број,M,85.0
2006,Број,M,83.0
2007,Број,M,98.0
2008,Број,M,102.0
2009,Број,M,80.0
2010,Број,M,83.0
2011,Број,M,57.0
2012,Број,M,64.0
2013,Број,M,45.0
2014,Број,M,45.0
2015,Број,M,56.0
2016,Број,M,54.0
2017,Број,M,51.0
2018,Број,M,49.0
2019,Број,M,40.0
2001,Број,Ж,95.0
2002,Број,Ж,61.0
2003,Број,Ж,59.0
2004,Број,Ж,74.0
2005,Број,Ж,62.0
2006,Број,Ж,54.0
2007,Број,Ж,76.0
2008,Број,Ж,69.0
2009,Број,Ж,56.0
2010,Број,Ж,60.0
2011,Број,Ж,61.0
2012,Број,Ж,56.0
2013,Број,Ж,57.0
2014,Број,Ж,32.0
2015,Број,Ж,58.0
2016,Број,Ж,56.0
2017,Број,Ж,52.0
2018,Број,Ж,39.0
2019,Број,Ж,42.0
1996,Број,Оба пола,271.0
1997,Број,Оба пола,240.0
1998,Број,Оба пола,202.0
1999,Број,Оба пола,224.0
2000,Број,Оба пола,159.0
2001,Број,Оба пола,193.0
2002,Број,Оба пола,138.0
2003,Број,Оба пола,150.0
2004,Број,Оба пола,168.0
2005,Број,Оба пола,147.0
2006,Број,Оба пола,137.0
2007,Број,Оба пола,174.0
2008,Број,Оба пола,171.0
2009,Број,Оба пола,136.0
2010,Број,Оба пола,143.0
2011,Број,Оба пола,118.0
2012,Број,Оба пола,120.0
2013,Број,Оба пола,102.0
2014,Број,Оба пола,77.0
2015,Број,Оба пола,114.0
2016,Број,Оба пола,110.0
2017,Број,Оба пола,103.0
2018,Број,Оба пола,88.0
2019,Број,Оба пола,82.0
