Year,UNIT_MEASURE,SEX,Value
1996,NO_PER_1000_LIVE_BIRTHS,_T,5.82
1997,NO_PER_1000_LIVE_BIRTHS,_T,4.96
1998,NO_PER_1000_LIVE_BIRTHS,_T,4.49
1999,NO_PER_1000_LIVE_BIRTHS,_T,5.28
2000,NO_PER_1000_LIVE_BIRTHS,_T,4.02
2001,NO_PER_1000_LIVE_BIRTHS,_T,5.12
2002,NO_PER_1000_LIVE_BIRTHS,_T,3.88
2003,NO_PER_1000_LIVE_BIRTHS,_T,4.26
2004,NO_PER_1000_LIVE_BIRTHS,_T,4.78
2005,NO_PER_1000_LIVE_BIRTHS,_T,4.25
2006,NO_PER_1000_LIVE_BIRTHS,_T,4.03
2007,NO_PER_1000_LIVE_BIRTHS,_T,5.14
2008,NO_PER_1000_LIVE_BIRTHS,_T,5.0
2009,NO_PER_1000_LIVE_BIRTHS,_T,3.94
2010,NO_PER_1000_LIVE_BIRTHS,_T,4.27
2011,NO_PER_1000_LIVE_BIRTHS,_T,3.71
2012,NO_PER_1000_LIVE_BIRTHS,_T,3.69
2013,NO_PER_1000_LIVE_BIRTHS,_T,3.32
2014,NO_PER_1000_LIVE_BIRTHS,_T,2.54
2015,NO_PER_1000_LIVE_BIRTHS,_T,3.83
2016,NO_PER_1000_LIVE_BIRTHS,_T,3.64
2017,NO_PER_1000_LIVE_BIRTHS,_T,3.41
2018,NO_PER_1000_LIVE_BIRTHS,_T,2.99
2019,NO_PER_1000_LIVE_BIRTHS,_T,2.89
