Value,en,bs,sr,hr,test,Disaggregation combinations using this value,Number of indicators
2011/2012,2011/2012,2011/2012,2011/2012,2011/2012,2011/2012,12,4
2012/2013,2012/2013,2012/2013,2012/2013,2012/2013,2012/2013,12,4
2013/2014,2013/2014,2013/2014,2013/2014,2013/2014,2013/2014,12,4
2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,12,4
2015/2016,2015/2016,2015/2016,2015/2016,2015/2016,2015/2016,12,4
2016/2017,2016/2017,2016/2017,2016/2017,2016/2017,2016/2017,12,4
2017/2018,2017/2018,2017/2018,2017/2018,2017/2018,2017/2018,12,4
2018/2019,2018/2019,2018/2019,2018/2019,2018/2019,2018/2019,12,4
2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,12,4
2020/2021,2020/2021,2020/2021,2020/2021,2020/2021,2020/2021,12,4
